id,lastName,firstName,court,gender,yearsOnBench,respondents,contacts,integrity,demeanor,dilligence,caseMgmt,promptDecisions,preparedness,familiarityWithLaw,oralRulings,writtenRulings,physicalAbility,retentionScore
55,Chernaukas,Joseph,common,m,13.0,246.0,8.5,6.6,6.1,6.0,5.8,5.9,5.2,4.9,5.0,5.1,6.5,5.3
56,Cloffi,Nicholas,common,m,1.0,116.0,8.0,8.2,7.9,7.9,7.9,7.8,7.8,8.1,7.9,7.9,8.5,8.0
57,Corrigan,Thomas,common,m,8.0,225.0,8.8,7.6,7.2,7.2,7.0,7.0,6.8,6.8,6.8,6.7,7.7,7.1
58,Covello,Alfred,common,m,2.0,254.0,6.8,8.7,8.7,8.6,8.1,8.2,8.2,8.2,8.1,8.1,8.6,8.5
59,Cramer,Eli,common,m,10.0,161.0,9.5,7.5,7.1,6.7,6.7,6.7,6.5,6.3,6.3,6.4,7.0,6.6
60,Curran,Hugh,common,m,0.5,70.0,6.7,7.8,7.8,7.3,7.3,7.2,7.1,6.9,7.0,7.1,8.0,7.3
61,DeFabritis,Louis,common,m,3.0,128.0,9.7,6.5,6.2,6.0,6.1,6.2,5.6,5.6,5.6,5.6,7.0,5.8
62,Dorsey,Donald,common,m,4.0,281.0,7.5,8.3,8.1,8.0,7.7,7.8,7.7,7.6,7.6,7.6,8.4,8.1
63,Dorsey,Leonard,common,m,3.0,141.0,10.0,7.8,7.6,7.3,7.0,7.0,6.9,6.8,6.8,7.0,7.5,7.3
64,Dwyer,Phillip,common,m,11.0,159.0,10.4,7.2,6.5,5.5,6.2,6.2,5.9,5.8,5.7,5.8,5.1,5.8
65,Edelberg,Harry,common,m,3.0,239.0,7.6,7.4,7.0,6.9,6.7,7.0,6.6,6.6,6.5,6.5,7.5,6.8
66,Elelson,Rodney,common,m,15.0,326.0,8.4,5.9,5.0,5.8,6.4,6.6,5.6,5.8,5.6,5.5,7.1,5.5
67,Ewing,William,common,m,8.0,145.0,9.8,7.7,7.3,7.4,7.0,7.2,6.8,6.9,6.8,6.8,7.0,7.1
70,Falsey,Paul,common,m,1.0,175.0,6.9,8.1,8.0,7.7,7.5,7.4,7.5,7.4,7.3,7.4,8.4,7.8
71,Fishman,Milton,common,m,3.0,223.0,8.5,7.3,6.8,7.3,7.2,7.3,7.1,7.2,6.9,7.0,6.8,6.9
72,Fitzgerald,John,common,m,3.0,167.0,8.6,7.7,7.4,7.6,7.6,7.5,7.2,7.3,7.2,7.4,8.1,7.5
73,Ford,G. Sarsfield,common,m,3.0,268.0,7.9,7.6,6.9,7.5,7.4,7.6,7.3,7.4,7.0,7.1,8.3,7.3
74,Goldberg,Henry,common,m,10.0,175.0,7.6,7.5,7.1,7.2,7.0,7.0,6.8,6.8,6.7,6.9,6.8,6.9
75,Goldberg,Joseph,common,m,3.0,197.0,8.3,8.3,8.1,8.0,7.9,7.6,7.6,7.7,7.7,7.6,8.2,8.0
76,Graham,William,common,m,4.0,156.0,6.5,7.4,7.0,7.0,6.7,6.7,6.4,6.5,6.4,6.6,7.6,6.8
77,Hammer,Henry,common,m,1.0,124.0,8.7,6.9,6.3,6.8,6.2,6.1,6.4,6.2,5.9,6.1,7.0,6.2
78,Henbry,James,common,m,9.0,251.0,8.9,8.5,8.4,8.0,7.6,7.6,7.6,7.6,7.7,7.7,7.8,8.0
79,Herman,Milton,common,m,10.0,224.0,8.3,6.9,6.4,6.8,6.8,7.0,6.6,6.4,6.3,6.4,7.4,6.4
80,Jacobs,David,common,m,15.0,146.0,8.2,8.2,7.7,7.6,7.1,7.2,7.7,7.9,7.5,7.9,7.1,7.7
81,Jacobson,Burton,common,m,5.0,338.0,9.4,7.8,7.7,7.8,7.9,7.7,7.5,7.5,7.5,7.5,8.4,7.8
82,Kelly,Eugene,common,m,0.5,45.0,9.3,na,na,na,na,na,na,na,na,na,na,na
83,Kinney,Frank,common,m,4.0,252.0,9.2,7.9,7.6,8.0,8.0,7.7,7.7,7.8,7.6,7.5,8.3,7.8
84,Kline,Morgan,common,m,3.0,204.0,8.8,7.5,7.3,7.5,7.4,7.5,7.3,7.3,7.1,7.2,7.9,7.4
85,Kulawiz,Joanne,common,f,4.0,285.0,8.2,8.4,8.2,8.0,7.6,7.6,7.5,7.5,7.5,7.5,8.2,7.9
86,Landau,Sidney,common,m,0.5,38.0,7.6,na,na,na,na,na,na,na,na,na,na,na
87,Levine,Norton,common,m,9.0,272.0,7.9,7.5,7.0,6.6,6.0,5.9,6.3,6.4,6.1,6.5,7.4,6.5
88,Lexton,Roman,common,m,9.0,170.0,7.9,6.1,5.4,6.7,6.7,6.5,5.8,5.8,5.5,5.7,6.7,5.6
89,Mancini,Philip,common,m,6.0,250.0,8.7,7.3,6.7,7.0,7.2,7.3,6.7,6.7,6.6,6.7,7.7,6.9
90,McGuinness,John,common,m,6.0,235.0,7.9,7.5,7.1,6.7,6.6,6.4,6.6,6.8,6.8,6.7,7.5,6.9
91,McKeever,Martin,common,m,3.0,143.0,8.2,7.6,7.5,7.1,7.0,6.6,6.9,6.9,7.0,6.9,7.7,7.1
92,Ment,Aaron,common,m,0.5,43.0,4.4,na,na,na,na,na,na,na,na,na,na,na
93,Morahan,Howard,common,m,6.0,232.0,11.2,7.8,7.0,7.9,7.8,7.8,7.6,7.6,7.3,7.5,8.3,7.5
94,Morelli,Joseph,common,m,7.0,160.0,9.1,7.2,6.9,6.6,6.5,6.4,6.1,5.9,6.0,6.1,6.8,6.4
95,Novack,Stanley,common,m,1.0,129.0,7.8,8.6,8.6,8.2,7.7,7.8,7.8,7.6,7.7,7.7,8.5,8.1
96,O'Donnell,Thomas,common,m,3.0,156.0,9.8,8.3,7.9,7.9,7.8,7.6,7.5,7.5,7.4,7.4,7.8,7.7
97,Ottaviano,John,common,m,7.0,184.0,8.3,6.8,6.1,6.0,5.5,5.5,5.4,5.4,5.3,5.4,6.8,5.5
98,Phillips,C.Perrie,common,m,1.0,139.0,8.0,7.5,7.3,7.1,6.9,7.4,7.0,6.9,7.1,7.0,7.4,7.2
99,Pickett,Walter,common,m,1.0,160.0,9.9,7.4,7.1,7.5,7.8,7.4,7.5,7.5,7.1,7.3,8.1,7.3
100,Quinn,Francis,common,m,8.0,188.0,9.5,8.3,8.2,7.9,7.8,7.8,7.5,7.6,7.7,7.5,8.4,7.9
101,Reicher,Max,common,m,15.0,207.0,8.6,7.5,7.1,7.0,6.9,6.9,6.3,6.4,6.4,6.4,7.2,6.7
102,Reynolds,John,common,m,15.0,197.0,9.7,7.9,7.7,7.4,7.4,7.4,7.2,7.2,7.1,7.1,7.7,7.5
103,Rottman,Alvin,common,m,9.0,306.0,8.5,5.4,4.1,5.3,5.6,5.9,5.1,5.2,4.8,5.0,6.2,4.8
104,Satter,Robert,common,m,1.0,176.0,4.6,5.4,8.1,8.0,7.6,7.4,8.0,7.0,7.8,7.8,8.4,8.0
105,Scaller,Barry,common,m,2.0,179.0,7.0,8.5,8.4,8.3,8.0,7.9,7.8,8.0,7.8,7.9,8.6,8.2
106,Spallone,Daniel,common,m,6.0,169.0,9.6,7.8,7.7,7.3,7.2,7.3,6.9,6.9,7.0,6.8,7.6,7.1
107,Stodolink,Edward,common,m,3.0,161.0,8.8,8.3,8.2,8.1,7.3,7.3,7.6,7.6,7.6,7.6,8.3,8.0
108,Brennerman,Frederica,juvenile,f,9.0,76.0,7.7,8.4,8.3,8.3,7.6,8.0,7.6,7.7,7.4,7.5,8.2,7.9
109,Conway,Michael,juvenile,m,9.0,74.0,9.3,8.7,8.5,8.2,7.8,7.9,8.0,8.3,8.0,8.1,8.4,8.4
110,Driscoll,Margaret,juvenile,f,16.0,109.0,12.4,8.4,7.9,8.3,7.9,8.1,8.0,8.1,7.9,7.9,8.4,8.2
111,Glam,Robert,juvenile,m,9.0,91.0,13.5,3.6,3.3,3.4,3.1,3.2,3.2,3.1,7.8,7.9,8.7,8.3
112,Hennemey,Francis,juvenile,m,0.2,na,na,na,na,na,na,na,na,na,na,na,na,na
113,Higgins,James,juvenile,m,2.0,79.0,3.6,3.1,7.6,8.0,7.6,7.7,7.7,7.9,7.5,7.5,8.1,7.7
